yxmc,xm,zcmc,kcmc,kcbm,xqxs,xqxf,sjms,bz,nj,xn,xq,yqdrs,jsdm,jxlmc
船舶海洋与建筑工程学院,陈兵,研究员                  ,建筑材料与施工                                    ,001-(2016-2017-2)AR312(教学班),32,2,"行课安排为第1-16周,其中:
星期五  第1节--第2节
东下院104(1-16周) 陈兵(1-16周)",限建筑系学生                                                                                                                                                                                                                                                        ,2013,2016-2017,2,41,东下院104,闵行东下院      
船舶海洋与建筑工程学院,陈兵,研究员                  ,建筑材料                                          ,001-(2016-2017-2)CV203(教学班),51,3,"行课安排为第1-12周,其中:
星期一  第9节--第10节
下院210(1-12周) 陈兵(1-12周)
星期四  第9节--第10节
下院210(1-12周) 陈兵(1-12周)",限土木工程                                                                                                                                                                                                                                                          ,2015,2016-2017,2,47,下院210,闵行下院        
船舶海洋与建筑工程学院,周岱,教授                    ,工程可持续发展                                    ,002-(2016-2017-2)AM904(教学班),32,2,"行课安排为第4周 --- 第11周,其中:
星期一  第9节--第10节
东上院304(4-11周).周岱 教授
东上院304(4-11周).包艳 
星期四  第9节--第10节
东上院304(4-11周).周岱 教授
东上院304(4-11周).包艳",                                                                                                                                                                                                                                                                    ,0,2016-2017,2,31,东上院304,闵行东上院      
船舶海洋与建筑工程学院,周岱,教授                    ,土木建筑与可持续发展                              ,002-(2016-2017-2)SP208(教学班),16,1,"行课安排为第2周 --- 第9周,其中:
星期二  第9节--第10节
东上院308(2-9周).周岱 教授
东上院308(2-9周).包艳",大一新生                                                                                                                                                                                                                                                            ,2016,2016-2017,2,19,东上院308,闵行东上院      
船舶海洋与建筑工程学院,连之伟,教授                    ,人与室内环境                                      ,001-(2016-2017-2)SP012(教学班),32,2,"行课安排为第5周 --- 第14周,其中:
星期二  第11节--第13节
下院208(5-14周).连之伟 教授",大一新生                                                                                                                                                                                                                                                            ,2016,2016-2017,2,29,下院208,闵行下院        
船舶海洋与建筑工程学院,李四平,副教授                  ,理论力学（D类）                                   ,006-(2016-2017-2)EM001(教学班),72,4.5,"行课安排为第3周 --- 第14周,其中:
星期二  第11节--第13节
上院204(3-14周).李四平
星期五  第11节--第13节
上院204(3-14周).李四平","重修班，仅供不及格同学修读
                                                                                                                                                                                                                                        ",2016,2016-2017,2,24,上院204,闵行上院        
船舶海洋与建筑工程学院,徐永福,教授                    ,地基处理                                          ,001-(2016-2017-2)CV350(教学班),34,2,"行课安排为第1-8周,其中:
星期一  第3节--第4节
东上院304(1-8周) 徐永福(1-8周)
星期四  第1节--第2节
东上院304(1-8周) 徐永福(1-8周)",限土木工程                                                                                                                                                                                                                                                          ,2014,2016-2017,2,28,东上院304,闵行东上院      
船舶海洋与建筑工程学院,邓德衡,副研究员                ,船舶原理实验                                      ,001-(2016-2017-2)NA329(教学班),32,2,"行课安排为第1-16周,其中:
星期二  第7节--第8节
 不安排教室 邓德衡(1-16周)",限船舶与海洋工程专业                                                                                                                                                                                                                                                ,2014,2016-2017,2,69,,
船舶海洋与建筑工程学院,邓德衡,副研究员                ,船舶原理实验                                      ,002-(2016-2017-2)NA329(教学班),32,2,"行课安排为第1-16周,其中:
星期二  第7节--第8节
 不安排教室 邓德衡(1-16周)",限交通运输专业                                                                                                                                                                                                                                                      ,2014,2016-2017,2,16,,
船舶海洋与建筑工程学院,夏利娟,副教授                  ,船体振动                                          ,001-(2016-2017-2)NA323(教学班),32,2,"行课安排为第1-11周,其中:
星期五  第3节--第5节
东上院101(1-11周) 夏利娟(1-11周)",限船舶与海洋工程专业                                                                                                                                                                                                                                                ,2014,2016-2017,2,70,东上院101,闵行东上院      
船舶海洋与建筑工程学院,孙峰,高级工程师              ,材料力学实验探究                                  ,002-(2016-2017-2)EM024(教学班),32,2,"行课安排为第1周 --- 第11周,其中:
星期二  第11节--第13节
.(1-11周).孙峰 高级工程师",上课地点：力学实验中心，非工程力学专业学生选修                                                                                                                                                                                                                      ,0,2016-2017,2,19,,
船舶海洋与建筑工程学院,沈水龙,教授                    ,基础工程实例分析                                  ,001-(2016-2017-2)CV353(教学班),32,2,"行课安排为第9-16周,其中:
星期三  第1节--第2节
东上院304(9-16周) 沈水龙(9-16周)
东上院304(9-16周) 侯东伟(9-16周)
星期五  第3节--第4节
东上院304(9-16周) 沈水龙(9-16周)
东上院304(9-16周) 侯东伟(9-16周)",限土木工程                                                                                                                                                                                                                                                          ,2014,2016-2017,2,30,东上院304,闵行东上院      
船舶海洋与建筑工程学院,马宏旺,副教授                  ,建筑结构抗震                                      ,001-(2016-2017-2)CV405(教学班),32,2,"行课安排为第1-8周,其中:
星期二  第7节--第8节
东上院304(1-8周) 马宏旺(1-8周)
东上院304(1-8周) 周岱(1-8周)
星期五  第7节--第8节
东上院304(1-8周) 马宏旺(1-8周)
东上院304(1-8周) 周岱(1-8周)",限土木工程                                                                                                                                                                                                                                                          ,2014,2016-2017,2,34,东上院304,闵行东上院      
船舶海洋与建筑工程学院,刘小凯,工程师                  ,设计与软件技术（4）,001-(2016-2017-2)CS129(教学班),16,1,"行课安排为第1-8周,其中:
星期六  第7节--第8节
 不安排教室 刘小凯(1-8周)",虚拟安排，具体上课时间任课老师通知                                                                                                                                                                                                                                  ,2015,2016-2017,2,21,,
船舶海洋与建筑工程学院,刘小凯,工程师                  ,数字化设计                                        ,001-(2016-2017-2)CS130(教学班),48,3,"行课安排为第1-16周,其中:
星期日  第3节--第4节
 不安排教室 刘小凯(1-16周)",上课时间虚拟。临时借用教室。                                                                                                                                                                                                                                        ,2014,2016-2017,2,39,,
船舶海洋与建筑工程学院,邹早建,教授                    ,船舶原理（2－推进、操纵与耐波）,001-(2016-2017-2)NA328(教学班),64,4,"行课安排为第1-16周,其中:
星期一  第1节--第2节
东上院101(1-16周) 邹早建(1-16周)
东上院101(1-16周) 李巍(1-16周)
东上院101(1-16周) 顾解忡(1-16周)
星期四  第3节--第4节
东上院101(1-16周) 邹早建(1-16周)
东上院101(1-16周) 李巍(1-16周)
东上院101(1-16周) 顾解忡(1-16周)",部分双语授课，限船舶与海洋工程专业；杨晨俊、马宁合上                                                                                                                                                                                                                ,2014,2016-2017,2,54,东上院101,闵行东上院      
船舶海洋与建筑工程学院,邹早建,教授                    ,船舶原理（2－推进、操纵与耐波）,002-(2016-2017-2)NA328(教学班),64,4,"行课安排为第1-16周,其中:
星期一  第7节--第8节
东上院101(1-16周) 邹早建(1-16周)
东上院101(1-16周) 杨晨俊(1-16周)
东上院101(1-16周) 马宁(1-16周)
星期四  第7节--第8节
东上院101(1-16周) 邹早建(1-16周)
东上院101(1-16周) 杨晨俊(1-16周)
东上院101(1-16周) 马宁(1-16周)",全英文授课，限船舶与海洋工程专业；李巍、顾解忡合上                                                                                                                                                                                                                  ,2014,2016-2017,2,15,东上院101,闵行东上院      
船舶海洋与建筑工程学院,黄树新,副教授                  ,工程流体力学（A类）                               ,010-(2016-2017-2)EM003(教学班),51,3,"行课安排为第1-12周,其中:
星期一  第3节--第4节
下院512(1-12周) 黄树新(1-12周)
星期四  第3节--第4节
下院512(1-12周) 黄树新(1-12周)",                                                                                                                                                                                                                                                                    ,2015,2016-2017,2,35,下院512,闵行下院        
船舶海洋与建筑工程学院,宋振森,副教授                  ,土木工程制图（B类）                               ,001-(2016-2017-2)CV212(教学班),51,3,"行课安排为第1-12周,其中:
星期一  第7节--第8节
下院405(1-12周) 宋振森(1-12周)
星期四  第7节--第8节
下院405(1-12周) 宋振森(1-12周)",限土木工程                                                                                                                                                                                                                                                          ,2015,2016-2017,2,47,下院405,闵行下院        
船舶海洋与建筑工程学院,马文军,副教授                  ,建筑设计及原理（3-2）,001-(2016-2017-2)AR413(教学班),128,8,"行课安排为第1-16周,其中:
星期一  第7节--第10节
 不安排教室 马文军(1-16周)
 不安排教室 张清(1-16周)
 不安排教室 吴建(1-16周)
 不安排教室 王林(1-16周)
星期四  第7节--第10节
 不安排教室 马文军(1-16周)
 不安排教室 张清(1-16周)
 不安排教室 吴建(1-16周)
 不安排教室 王林(1-16周)",建筑学专用教室上课                                                                                                                                                                                                                                                  ,2013,2016-2017,2,39,,
船舶海洋与建筑工程学院,吕爱民,副教授                  ,建筑设计及原理（2-2）,001-(2016-2017-2)AR315(教学班),128,8,"行课安排为第1-16周,其中:
星期一  第7节--第10节
 不安排教室 吕爱民(1-16周)
 不安排教室 张健(1-16周)
 不安排教室 蔡军(1-16周)
 不安排教室 刘杰(1-16周)
星期四  第7节--第10节
 不安排教室 吕爱民(1-16周)
 不安排教室 张健(1-16周)
 不安排教室 蔡军(1-16周)
 不安排教室 刘杰(1-16周)",建筑学专用教室上课。                                                                                                                                                                                                                                                ,2014,2016-2017,2,37,,
船舶海洋与建筑工程学院,陈俐,副教授                  ,毕业设计（论文）（船舶与海洋工程）                ,001-(2016-2017-2)BS004(教学班),221,13,"行课安排为第1-16周,其中:
星期六  第7节--第8节
 不安排教室 陈俐(1-16周)",虚拟时间；限船舶与海洋工程专业                                                                                                                                                                                                                                      ,2013,2016-2017,2,72,,
船舶海洋与建筑工程学院,邓雪原,高级工程师              ,结构概念设计                                      ,001-(2016-2017-2)CV306(教学班),32,2,"行课安排为第1-8周,其中:
星期三  第1节--第2节
东上院304(1-8周) 邓雪原(1-8周)
东上院304(1-8周) 黄真(1-8周)
星期五  第3节--第4节
东上院304(1-8周) 邓雪原(1-8周)
东上院304(1-8周) 黄真(1-8周)",限土木工程                                                                                                                                                                                                                                                          ,2014,2016-2017,2,24,东上院304,闵行东上院      
船舶海洋与建筑工程学院,玄峰,副教授                  ,建筑师业务                                        ,001-(2016-2017-2)AR415(教学班),48,3,"行课安排为第1-16周,其中:
星期二  第6节--第8节
东下院104(1-16周) 玄峰(1-16周)
东下院104(1-16周) 孙红(1-16周)",                                                                                                                                                                                                                                                                    ,2013,2016-2017,2,41,东下院104,闵行东下院      
船舶海洋与建筑工程学院,祁洋,工程师                  ,专业实习                                          ,001-(2016-2017-2)EM317(教学班),60,3.5,"行课安排为第23-24周,其中:
星期六  第1节--第2节
 不安排教室 祁洋(23-24周)",限工程力学                                                                                                                                                                                                                                                          ,2014,2016-2017,2,19,,
船舶海洋与建筑工程学院,冯正平,副教授                  ,水下作业系统                                      ,001-(2016-2017-2)NA335(教学班),32,2,"行课安排为第1-16周,其中:
星期一  第3节--第4节
东上院101(1-16周) 冯正平(1-16周)",限船舶与海洋工程专业                                                                                                                                                                                                                                                ,2014,2016-2017,2,56,东上院101,闵行东上院      
船舶海洋与建筑工程学院,余龙,副教授                  ,船体构造与制图                                    ,003-(2016-2017-2)NA232(教学班),51,3,"行课安排为第1-16周,其中:
星期一  第6节--第8节
下院309(1-12周) 余龙(1-16周)",限船工 轮机 国航专业 全英文  1-12周下院309上课 13-16周制图教室已借中院306 308 310 406 408,2015,2016-2017,2,37,下院309,闵行下院        
船舶海洋与建筑工程学院,余龙,副教授                  ,船体构造与制图                                    ,003-(2016-2017-2)NA232(教学班),51,3,"行课安排为第1-16周,其中:
星期一  第6节--第8节
下院309(1-12周) 余龙(1-16周)",限船工 轮机 国航专业 全英文  1-12周下院309上课 13-16周制图教室已借中院306 308 310 406 408,2015,2016-2017,2,37,,
船舶海洋与建筑工程学院,黄超,高级工程师              ,生产实习（船舶与海洋工程）                        ,001-(2016-2017-2)XP419(教学班),64,4,"行课安排为第23-24周,其中:
星期六  第1节--第2节
 不安排教室 黄超(23-24周)
 不安排教室 刘亚东(23-24周)
 不安排教室 冯永军(23-24周)",虚拟时间，限船舶与海洋工程专业                                                                                                                                                                                                                                      ,2014,2016-2017,2,66,,
船舶海洋与建筑工程学院,万德成,教授                    ,船舶流体力学                                      ,002-(2016-2017-2)NA235(教学班),68,4,"行课安排为第1-16周,其中:
星期一  第3节--第4节
下院407(1-16周) 廖世俊(1-16周)
下院407(1-16周) 林志良(1-16周)
下院407(1-16周) 万德成(1-16周)
星期四  第1节--第2节
下院407(1-16周) 廖世俊(1-16周)
下院407(1-16周) 林志良(1-16周)
下院407(1-16周) 万德成(1-16周)",限船工专业，中文授课                                                                                                                                                                                                                                                ,2015,2016-2017,2,50,下院407,闵行下院        
船舶海洋与建筑工程学院,张景新,副教授                  ,流体力学（D类）                                   ,001-(2016-2017-2)AV203(教学班),68,4,"行课安排为第1-16周,其中:
星期一  第3节--第4节
下院401(1-16周) 张景新(1-16周)
星期三  第3节--第4节
下院401(1-16周) 张景新(1-16周)",限轮机方向                                                                                                                                                                                                                                                          ,2015,2016-2017,2,20,下院401,闵行下院        
船舶海洋与建筑工程学院,徐航,副研究员                ,海洋学导论                                        ,009-(2016-2017-2)OC901(教学班),32,2,"行课安排为第19周 --- 第22周,其中:
星期一  第6节--第8节
上院206(19-22周).徐航 副研究员
星期三  第6节--第8节
上院206(19-22周).徐航 副研究员
星期五  第6节--第8节
上院206(19-22周).徐航 副研究员",夏季学期，除船舶与海洋工程专业外本科生                                                                                                                                                                                                                              ,0,2016-2017,2,60,上院206,闵行上院        
船舶海洋与建筑工程学院,徐航,副研究员                ,海洋学导论                                        ,007-(2016-2017-2)OC901(教学班),32,2,"行课安排为第1周 --- 第11周,其中:
星期二  第11节--第13节
下院101(1-11周).徐航 副研究员",除船舶与海洋工程专业外本科生                                                                                                                                                                                                                                        ,0,2016-2017,2,30,下院101,闵行下院        
船舶海洋与建筑工程学院,陈军,讲师(高校)              ,弹性力学                                          ,001-(2016-2017-2)EM351(教学班),32,2,"行课安排为第1-16周,其中:
星期二  第3节--第4节
东上院304(1-16周) 陈军(1-16周)",限土木工程                                                                                                                                                                                                                                                          ,2014,2016-2017,2,48,东上院304,闵行东上院      
船舶海洋与建筑工程学院,陈鑫,副研究员                ,计算流体力学与程序设计                            ,001-(2016-2017-2)EM311(教学班),64,4,"行课安排为第1-16周,其中:
星期二  第1节--第2节
东中院1-102(1-16周) 陈鑫(1-16周)
东中院1-102(1-16周) 李杰(1-16周)
星期四  第7节--第8节
东中院1-102(1-16周) 陈鑫(1-16周)
东中院1-102(1-16周) 李杰(1-16周)",限工程力学                                                                                                                                                                                                                                                          ,2014,2016-2017,2,18,东中院1-102,闵行东中院      
船舶海洋与建筑工程学院,高圣彬,副教授                  ,钢结构课程设计                                    ,001-(2016-2017-2)CV441(教学班),32,2,"行课安排为第1-2周,其中:
星期一  第1节--第4节
 不安排教室 高圣彬(1-2周)
 不安排教室 宋振森(1-2周)
星期三  第1节--第4节
 不安排教室 高圣彬(1-2周)
 不安排教室 宋振森(1-2周)
星期四  第1节--第4节
 不安排教室 高圣彬(1-2周)
 不安排教室 宋振森(1-2周)
星期五  第1节--第4节
 不安排教室 高圣彬(1-2周)
 不安排教室 宋振森(1-2周)",限土木工程                                                                                                                                                                                                                                                          ,2013,2016-2017,2,35,,
船舶海洋与建筑工程学院,吕海宁,副教授                  ,现代造船技术                                      ,001-(2016-2017-2)NA341(教学班),43,2.5,"行课安排为第1-14周,其中:
单周
星期三  第3节--第4节
东上院101(1-13周) 吕海宁(1-13周)
东上院101(1-13周) 柳存根(1-13周)
东上院101(1-13周) 汪学锋(1-13周)
星期五  第1节--第2节
东上院101(1-13周) 吕海宁(1-13周)
东上院101(1-13周) 柳存根(1-13周)
东上院101(1-13周) 汪学锋(1-13周)
双周
星期三  第3节--第4节
东上院101(2-14周) 吕海宁(2-14周)
东上院101(2-14周) 柳存根(2-14周)
东上院101(2-14周) 汪学锋(2-14周)",限船舶与海洋工程专业                                                                                                                                                                                                                                                ,2014,2016-2017,2,55,东上院101,闵行东上院      
船舶海洋与建筑工程学院,吕海宁,副教授                  ,船舶与海洋工程试验研究                            ,001-(2016-2017-2)NA403(教学班),48,3,"行课安排为第1-16周,其中:
星期五  第7节--第9节
东上院101(1-8周) 吕海宁(1-16周)
东上院101(1-8周) 田新亮(1-16周)",9-16周做实验，不在教室上课；限船舶与海洋工程、轮机工程专业,2014,2016-2017,2,87,,
船舶海洋与建筑工程学院,吕海宁,副教授                  ,船舶与海洋工程试验研究                            ,001-(2016-2017-2)NA403(教学班),48,3,"行课安排为第1-16周,其中:
星期五  第7节--第9节
东上院101(1-8周) 吕海宁(1-16周)
东上院101(1-8周) 田新亮(1-16周)",9-16周做实验，不在教室上课；限船舶与海洋工程、轮机工程专业,2014,2016-2017,2,87,东上院101,闵行东上院      
船舶海洋与建筑工程学院,周拥军,讲师(高校)              ,工程测量                                          ,001-(2016-2017-2)CV103(教学班),32,2,"行课安排为第1-16周,其中:
星期一  第3节--第4节
下院405(1-16周) 周拥军(1-16周)",限土木工程                                                                                                                                                                                                                                                          ,2015,2016-2017,2,48,下院405,闵行下院        
船舶海洋与建筑工程学院,周拥军,讲师(高校)              ,测量实习                                          ,001-(2016-2017-2)CV214(教学班),34,2,"行课安排为第23-24周,其中:
星期六  第1节--第2节
 不安排教室 周拥军(23-24周)",暑假，限土木工程                                                                                                                                                                                                                                                    ,2015,2016-2017,2,48,,
船舶海洋与建筑工程学院,洪嘉振,教授                    ,专业导论（B类）                                   ,001-(2016-2017-2)NA103(教学班),17,1,"行课安排为第1-8周,其中:
星期二  第1节--第2节
下院404(1-8周) 洪嘉振(1-8周)",限工程力学                                                                                                                                                                                                                                                          ,2015,2016-2017,2,22,下院404,闵行下院        
船舶海洋与建筑工程学院,杨建民,教授                    ,船舶与海洋工程导论                                ,001-(2016-2017-2)NA233(教学班),34,2,"行课安排为第1-16周,其中:
星期二  第9节--第10节
下院205(1-16周) 李欣(1-16周)
下院205(1-16周) 孟帅(1-16周)
下院205(1-16周) 杨建民(1-16周)",限船工、轮机 陈俐老师合上                                                                                                                                                                                                                                           ,2015,2016-2017,2,87,下院205,闵行下院        
船舶海洋与建筑工程学院,余征跃,高级工程师              ,力学创新实验                                      ,001-(2016-2017-2)AV018(教学班),32,2,"行课安排为第1周 --- 第16周,其中:
星期四  第9节--第10节
东中院1-204(1-16周).余征跃 高级工程师",先修课程：物理                                                                                                                                                                                                                                                      ,0,2016-2017,2,11,东中院1-204,闵行东中院      
船舶海洋与建筑工程学院,余征跃,高级工程师              ,工程力学实验（A类）                               ,001-(2016-2017-2)EM007(教学班),34,2,"行课安排为第1-16周,其中:
星期一  第9节--第10节
 不安排教室 余征跃(1-16周)",第一周第一节绪论课：下院206；第二周开始实验室做实验,2015,2016-2017,2,31,,
船舶海洋与建筑工程学院,余征跃,高级工程师              ,动态测试与分析技术                                ,001-(2016-2017-2)EM306(教学班),40,2.5,"行课安排为第1-14周,其中:
星期一  第6节--第8节
东中院1-102(1-14周) 余征跃(1-14周)",限工程力学                                                                                                                                                                                                                                                          ,2014,2016-2017,2,18,东中院1-102,闵行东中院      
船舶海洋与建筑工程学院,刘锦阳,教授                    ,基础力学中的数学建模方法及解析                    ,001-(2016-2017-2)EM017(教学班),32,2,"行课安排为第4周 --- 第12周,其中:
星期四  第11节--第13节
上院301(4-12周).刘锦阳 教授
上院301(4-12周).朱本华 副教授
上院301(4-12周).赵社戍 教授","孙雁，刘铸永，陈巨兵，陶昉敏，陈龙祥，李红云老师合上，报名参加第十一届周培源全国大学生力学竞赛的学生选修该课程
                                                                                                                                                    ",0,2016-2017,2,9,上院301,闵行上院        
船舶海洋与建筑工程学院,刘锦阳,教授                    ,复杂系统动力学计算机辅助设计                      ,001-(2016-2017-2)EM312(教学班),64,4,"行课安排为第1-16周,其中:
星期二  第3节--第4节
东中院1-102(1-16周) 刘锦阳(1-16周)
星期四  第3节--第4节
东中院1-102(1-16周) 刘锦阳(1-16周)",限工程力学                                                                                                                                                                                                                                                          ,2014,2016-2017,2,20,东中院1-102,闵行东中院      
船舶海洋与建筑工程学院,孙雁,副教授                  ,材料力学（B类）                                   ,003-(2016-2017-2)EM012(教学班),64,4,"行课安排为第1-16周,其中:
星期三  第11节--第12节
下院306(1-16周) 孙雁(1-16周)
星期五  第7节--第8节
下院306(1-16周) 孙雁(1-16周)",仅限船建学院工科试验班学生                                                                                                                                                                                                                                          ,2015,2016-2017,2,79,下院306,闵行下院        
船舶海洋与建筑工程学院,刘桦,教授                    ,流体力学（C类）（1）,001-(2016-2017-2)EM203(教学班),51,3,"行课安排为第1-12周,其中:
星期一  第3节--第4节
下院403(1-12周) 刘桦(1-12周)
下院403(1-12周) 赵曦(1-12周)
星期三  第3节--第4节
下院403(1-12周) 刘桦(1-12周)
下院403(1-12周) 赵曦(1-12周)",限工程力学                                                                                                                                                                                                                                                          ,2015,2016-2017,2,26,下院403,闵行下院        
船舶海洋与建筑工程学院,易宏,教授                    ,新船型研究与探索                                  ,001-(2016-2017-2)SP171(教学班),32,2,"行课安排为第1周 --- 第16周,其中:
星期四  第9节--第10节
东中院4-105(1-16周).易宏 教授
东中院4-105(1-16周).李英辉 讲师(高校)
东中院4-105(1-16周).陈炉云 助理研究员",大一新生                                                                                                                                                                                                                                                            ,2016,2016-2017,2,29,东中院4-105,闵行东中院      
船舶海洋与建筑工程学院,廖世俊,教授                    ,随机性、复杂性初探                                ,001-(2016-2017-2)SP170(教学班),16,1,"行课安排为第1周 --- 第8周,其中:
星期一  第9节--第10节
下院404(1-8周).廖世俊 教授",                                                                                                                                                                                                                                                                    ,2016,2016-2017,2,18,下院404,闵行下院        
船舶海洋与建筑工程学院,曾一非,副教授                  ,海洋学导论                                        ,008-(2016-2017-2)OC901(教学班),32,2,"行课安排为第19周 --- 第22周,其中:
星期一  第6节--第8节
上院202(19-22周).曾一非 副教授
星期三  第6节--第8节
上院202(19-22周).曾一非 副教授
星期五  第6节--第8节
上院202(19-22周).曾一非 副教授",夏季学期，除船舶与海洋工程专业外本科生                                                                                                                                                                                                                              ,0,2016-2017,2,60,上院202,闵行上院        
船舶海洋与建筑工程学院,曾一非,副教授                  ,海洋学导论                                        ,005-(2016-2017-2)OC901(教学班),32,2,"行课安排为第1周 --- 第11周,其中:
星期二  第11节--第13节
下院102(1-11周).曾一非 副教授",除船舶与海洋工程专业外本科生                                                                                                                                                                                                                                        ,0,2016-2017,2,31,下院102,闵行下院        
船舶海洋与建筑工程学院,陈玉坤,高级工程师              ,工程力学实验（2）,001-(2016-2017-2)EM206(教学班),17,1,"行课安排为第1-8周,其中:
星期四  第9节--第10节
 不安排教室 陈玉坤(1-8周)","第一周上课地点：东上100
其余在实验室",2015,2016-2017,2,22,,
船舶海洋与建筑工程学院,王俊雄,副研究员                ,船舶动力装置控制理论                              ,001-(2016-2017-2)NA380(教学班),40,2.5,"行课安排为第1-14周,其中:
单周
星期一  第1节--第2节
东上院307(1-13周) 王俊雄(1-15周)
双周
星期一  第1节--第2节
东上院307(2-14周) 王俊雄(2-14周)
星期四  第7节--第8节
东上院307(2-14周) 王俊雄(2-14周)",限轮机工程专业                                                                                                                                                                                                                                                      ,2014,2016-2017,2,23,东上院307,闵行东上院      
船舶海洋与建筑工程学院,王德禹,教授                    ,有限元分析                                        ,001-(2016-2017-2)NA324(教学班),32,2,"行课安排为第1-16周,其中:
星期四  第1节--第2节
东上院101(1-8周) 王德禹(1-16周)",前8周安排教室，后8周机房上机，限船工、轮机专业学生修读,2014,2016-2017,2,42,东上院101,闵行东上院      
船舶海洋与建筑工程学院,王德禹,教授                    ,有限元分析                                        ,001-(2016-2017-2)NA324(教学班),32,2,"行课安排为第1-16周,其中:
星期四  第1节--第2节
东上院101(1-8周) 王德禹(1-16周)",前8周安排教室，后8周机房上机，限船工、轮机专业学生修读,2014,2016-2017,2,42,,
