yxmc,xm,zcmc,kcmc,kcbm,xqxs,xqxf,sjms,bz,nj,xn,xq,yqdrs,jsdm,jxlmc
船舶海洋与建筑工程学院,姜静,副教授                  ,混凝土结构与砌体结构设计                          ,001-(2018-2019-2)CV363(教学班),48,3,"行课安排为第1-12周,其中:
星期一  第1节--第2节
东下院204(1-12周) 陈思佳(1-12周)
东下院204(1-12周) 姜静(1-12周)
星期四  第3节--第4节
东下院204(1-12周) 陈思佳(1-12周)
东下院204(1-12周) 姜静(1-12周)",限土木工程。姜静1-8周，陈思佳9-12周,2016,2018-2019,2,13,东下院204,闵行东下院      
船舶海洋与建筑工程学院,于洪洁,副教授                  ,机械振动                                          ,001-(2018-2019-2)EM309(教学班),32,2,"行课安排为第1-16周,其中:
星期一  第3节--第4节
上院317(1-16周) 于洪洁(1-16周)",限工程力学专业.双语授课                                                                                                                                                                                                                                             ,2016,2018-2019,2,18,,
船舶海洋与建筑工程学院,于洪洁,副教授                  ,机械振动                                          ,002-(2018-2019-2)EM309(教学班),32,2,"行课安排为第1-16周,其中:
星期一  第3节--第4节
上院317(1-16周) 于洪洁(1-16周)",双语，限工程力学                                                                                                                                                                                                                                                    ,2017,2018-2019,2,19,,
船舶海洋与建筑工程学院,顾解忡,副研究员                ,船舶流体力学                                      ,003-(2018-2019-2)NA235(教学班),64,4,"行课安排为第1-16周,其中:
星期一  第3节--第4节
中院302(1-16周) 顾解忡(1-16周)
中院302(1-16周) 邹璐(1-16周)
中院302(1-16周) 万德成(1-16周)
中院302(1-16周) Francis Lucien Noblesse(1-16周)
星期四  第1节--第2节
中院302(1-16周) 顾解忡(1-16周)
中院302(1-16周) 邹璐(1-16周)
中院302(1-16周) 万德成(1-16周)
中院302(1-16周) Francis Lucien Noblesse(1-16周)",全英文，限船工，顾26学时，邹26学时，其余各4学时，刘成参与助教,2017,2018-2019,2,10,中院302,闵行中院        
船舶海洋与建筑工程学院,叶冠林,教授                    ,地下工程施工                                      ,001-(2018-2019-2)CV364(教学班),32,2,"行课安排为第1-16周,其中:
星期四  第7节--第8节
东下院204(1-16周) 叶冠林(1-16周)",限土木工程。                                                                                                                                                                                                                                                        ,2016,2018-2019,2,25,东下院204,闵行东下院      
船舶海洋与建筑工程学院,叶冠林,教授                    ,地下工程施工实习                                  ,001-(2018-2019-2)CV367(教学班),64,4,"行课安排为第23-24周,其中:
星期六  第5节--第6节
 不安排教室 叶冠林(23-24周)",限土木工程                                                                                                                                                                                                                                                          ,2016,2018-2019,2,0,,
船舶海洋与建筑工程学院,宋晓冰,副教授                  ,建筑力学（2）,001-(2018-2019-1)AR112(教学班),48,3,"行课安排为第1-12周,其中:
星期三  第1节--第2节
上院110(1-12周) 陈思佳(1-12周)
上院110(1-12周) 宋晓冰(1-12周)
星期五  第3节--第4节
上院110(1-12周) 陈思佳(1-12周)
上院110(1-12周) 宋晓冰(1-12周)",各24学时，限建筑,2017,2018-2019,2,37,上院110,闵行上院        
船舶海洋与建筑工程学院,宋晓冰,副教授                  ,结构模型设计与制作                                ,001-(2018-2019-2)CV217(教学班),48,3,"行课安排为第1-16周,其中:
星期六  第3节--第4节
 不安排教室 宋晓冰(1-16周)
 不安排教室 陈思佳(1-16周)","面向全校学生开设,新图书馆京东创客空间                                                                                                                                                                                                                               ",2017,2018-2019,2,47,,
船舶海洋与建筑工程学院,陈兵,研究员                  ,建筑材料与施工                                    ,001-(2018-2019-2)AR312(教学班),32,2,"行课安排为第1-16周,其中:
星期二  第3节--第4节
东下院103(1-16周) 陈兵(1-16周)",限建筑系                                                                                                                                                                                                                                                            ,2015,2018-2019,2,19,东下院103,闵行东下院      
船舶海洋与建筑工程学院,陈兵,研究员                  ,建筑材料                                          ,001-(2018-2019-2)CV203(教学班),48,3,"行课安排为第1-12周,其中:
星期一  第3节--第4节
上院409(1-12周) 陈兵(1-12周)
星期四  第3节--第4节
上院409(1-12周) 陈兵(1-12周)",限土木                                                                                                                                                                                                                                                              ,2017,2018-2019,2,46,,
