yxmc,xm,zcmc,kcmc,kcbm,xqxs,xqxf,sjms,bz,nj,xn,xq,yqdrs,jsdm,jxlmc
外国语学院,纪小凌,副教授                  ,大学基础英语（1）,012-(2016-2017-1)EN025(教学班),68,3,"行课安排为第1周 --- 第16周,其中:
星期一  第3节--第4节
上院104(1-16周).纪小凌
星期四  第7节--第8节
上院504(1-16周).Jenny xu 高等学校教师",限致远                                                                                                                                                                                                                                                              ,2016,2016-2017,1,36,上院504,闵行上院        
外国语学院,纪小凌,副教授                  ,大学基础英语（1）,013-(2016-2017-1)EN025(教学班),68,3,"行课安排为第1周 --- 第16周,其中:
星期一  第3节--第4节
上院502(1-16周).Jenny xu 高等学校教师
星期四  第7节--第8节
上院104(1-16周).纪小凌",限致远                                                                                                                                                                                                                                                              ,2016,2016-2017,1,36,上院104,闵行上院        
外国语学院,纪小凌,副教授                  ,大学基础英语（1）,049-(2016-2017-1)EN025(教学班),68,3,"行课安排为第1周 --- 第16周,其中:
星期一  第7节--第8节
上院104(1-16周).纪小凌 副教授
星期四  第1节--第2节
上院416(1-16周).潘之欣 副教授",高起点班                                                                                                                                                                                                                                                            ,2016,2016-2017,1,32,上院104,闵行上院        
外国语学院,纪小凌,副教授                  ,大学基础英语（1）,025-(2016-2017-1)EN025(教学班),68,3,"行课安排为第1周 --- 第16周,其中:
星期一  第1节--第2节
上院104(1-16周).纪小凌 副教授
星期四  第3节--第4节
上院416(1-16周).潘之欣 副教授",高起点班                                                                                                                                                                                                                                                            ,2016,2016-2017,1,33,上院104,闵行上院        
外国语学院,戴融融,实验师                  ,英语视听（3）,002-(2016-2017-1)EN205(教学班),34,2,"行课安排为第1周 --- 第16周,其中:
星期五  第9节--第10节
上院506(1-16周).戴融融 实验师",                                                                                                                                                                                                                                                                    ,2015,2016-2017,1,20,上院506,闵行上院        
外国语学院,戴融融,实验师                  ,英语视听（3）,003-(2016-2017-1)EN205(教学班),34,2,"行课安排为第1周 --- 第16周,其中:
星期五  第3节--第4节
上院506(1-16周).戴融融 实验师",                                                                                                                                                                                                                                                                    ,2015,2016-2017,1,19,上院506,闵行上院        
外国语学院,戴融融,实验师                  ,英语视听（3）,001-(2016-2017-1)EN205(教学班),34,2,"行课安排为第1周 --- 第16周,其中:
星期五  第1节--第2节
上院506(1-16周).戴融融 实验师",                                                                                                                                                                                                                                                                    ,2015,2016-2017,1,23,上院506,闵行上院        
外国语学院,戴融融,实验师                  ,英语高级听说（1）,001-(2016-2017-1)EN255(教学班),32,2,"行课安排为第1周 --- 第16周,其中:
星期一  第9节--第10节
上院506(1-16周).戴融融 实验师",                                                                                                                                                                                                                                                                    ,2015,2016-2017,1,21,上院506,闵行上院        
外国语学院,戴融融,实验师                  ,英语高级听说（1）,002-(2016-2017-1)EN255(教学班),32,2,"行课安排为第1周 --- 第16周,其中:
星期一  第7节--第8节
上院506(1-16周).戴融融 实验师",                                                                                                                                                                                                                                                                    ,2015,2016-2017,1,19,上院506,闵行上院        
外国语学院,尚必武,研究员                  ,英语文学导论（1）,001-(2016-2017-1)EN246(教学班),32,2,"行课安排为第1周 --- 第16周,其中:
星期三  第1节--第2节
中院103(1-16周).尚必武",                                                                                                                                                                                                                                                                    ,2015,2016-2017,1,18,中院103,闵行中院        
外国语学院,尚必武,研究员                  ,英语文学导论（1）,002-(2016-2017-1)EN246(教学班),32,2,"行课安排为第1周 --- 第16周,其中:
星期三  第3节--第4节
中院103(1-16周).尚必武",                                                                                                                                                                                                                                                                    ,2015,2016-2017,1,21,中院103,闵行中院        
外国语学院,杨小虎,副教授                  ,大学英语（1）,005-(2016-2017-1)EN040(教学班),32,2,"行课安排为第1周 --- 第16周,其中:
星期四  第3节--第4节
下院303(1-16周).杨小虎 副教授",仅限本专业教学班3,2016,2016-2017,1,15,下院303,闵行下院        
外国语学院,杨小虎,副教授                  ,大学英语（1）,002-(2016-2017-1)EN040(教学班),32,2,"行课安排为第1周 --- 第16周,其中:
星期一  第1节--第2节
下院402(1-16周).杨小虎 副教授",仅限本专业教学班5,2016,2016-2017,1,15,下院402,闵行下院        
外国语学院,杨小虎,副教授                  ,大学英语（1）,001-(2016-2017-1)EN040(教学班),32,2,"行课安排为第1周 --- 第16周,其中:
星期一  第3节--第4节
下院304(1-16周).杨小虎 副教授",仅限本专业教学班4,2016,2016-2017,1,8,下院304,闵行下院        
外国语学院,杨小虎,副教授                  ,大学英语（1）,003-(2016-2017-1)EN040(教学班),32,2,"行课安排为第1周 --- 第16周,其中:
星期一  第9节--第10节
下院301(1-16周).杨小虎 副教授",仅限本专业教学班1,2016,2016-2017,1,11,下院301,闵行下院        
外国语学院,杨小虎,副教授                  ,大学英语（1）,004-(2016-2017-1)EN040(教学班),32,2,"行课安排为第1周 --- 第16周,其中:
星期四  第1节--第2节
下院302(1-16周).杨小虎 副教授",仅限本专业教学班2,2016,2016-2017,1,15,下院302,闵行下院        
外国语学院,康东元,讲师(高校)              ,日语视听说（4）,001-(2016-2017-1)JA303(教学班),34,2,"行课安排为第1周 --- 第16周,其中:
星期二  第1节--第2节
上院508(1-16周).康东元 讲师(高校)",上院512,2014,2016-2017,1,18,上院508,闵行上院        
外国语学院,吴保华,副教授                  ,日本近现代文学欣赏（2）,001-(2016-2017-1)JA407(教学班),34,2,"行课安排为第1周 --- 第16周,其中:
星期二  第7节--第8节
东下院304(1-16周).吴保华",                                                                                                                                                                                                                                                                    ,2013,2016-2017,1,18,东下院304,闵行东下院      
外国语学院,左晓岚,副教授                  ,英语语音学                                        ,002-(2016-2017-1)EN105(行政班),32,2,"行课安排为第1周 --- 第16周,其中:
星期三  第3节--第4节
中院202(1-16周).左晓岚",                                                                                                                                                                                                                                                                    ,2016,2016-2017,1,23,中院202,闵行中院        
外国语学院,左晓岚,副教授                  ,英语语音学                                        ,001-(2016-2017-1)EN105(行政班),32,2,"行课安排为第1周 --- 第16周,其中:
星期三  第1节--第2节
中院204(1-16周).左晓岚",                                                                                                                                                                                                                                                                    ,2016,2016-2017,1,20,中院204,闵行中院        
外国语学院,左晓岚,副教授                  ,美国文学概论（1）,002-(2016-2017-1)EN405(教学班),34,2,"行课安排为第1周 --- 第16周,其中:
星期四  第9节--第10节
东下院104(1-16周).左晓岚",仅限英语专业                                                                                                                                                                                                                                                        ,2013,2016-2017,1,16,东下院104,闵行东下院      
外国语学院,左晓岚,副教授                  ,美国文学概论（1）,001-(2016-2017-1)EN405(教学班),34,2,"行课安排为第1周 --- 第16周,其中:
星期四  第7节--第8节
东下院502(1-16周).左晓岚",仅限英语专业                                                                                                                                                                                                                                                        ,2013,2016-2017,1,17,东下院502,闵行东下院      
外国语学院,陈露,副教授                  ,日语精读（1）*,001-(2016-2017-1)JA111(行政班),192,12,"行课安排为第1周 --- 第16周,其中:
星期一  第6节--第8节
上院420(1-16周).陈露
星期二  第6节--第8节
上院420(1-16周).于杨
星期四  第3节--第5节
上院420(1-16周).陈露
星期五  第6节--第8节
上院420(1-16周).于杨",                                                                                                                                                                                                                                                                    ,2016,2016-2017,1,21,上院420,闵行上院        
外国语学院,陈露,副教授                  ,日语（1）,002-(2016-2017-1)JA215(教学班),68,4,"行课安排为第1周 --- 第16周,其中:
星期一  第3节--第4节
中院207(1-16周).陈露
星期四  第1节--第2节
中院207(1-16周).陈露",                                                                                                                                                                                                                                                                    ,2015,2016-2017,1,55,中院207,闵行中院        
外国语学院,陈露,副教授                  ,日语口译（1）,001-(2016-2017-1)JA310(教学班),34,2,"行课安排为第1周 --- 第16周,其中:
星期一  第1节--第2节
东上院507(1-16周).陈露",                                                                                                                                                                                                                                                                    ,2013,2016-2017,1,18,东上院507,闵行东上院      
外国语学院,赵勇,副教授                  ,大学基础英语（3）,055-(2016-2017-1)EN027(教学班),68,3,"行课安排为第1周 --- 第16周,其中:
星期二  第3节--第4节
下院108(1-16周).赵勇 副教授
星期五  第7节--第8节
下院108(1-16周).赵勇 副教授",中西文化对比                                                                                                                                                                                                                                                        ,2015,2016-2017,1,34,下院108,闵行下院        
外国语学院,赵勇,副教授                  ,大学基础英语（3）,045-(2016-2017-1)EN027(教学班),68,3,"行课安排为第1周 --- 第16周,其中:
星期二  第1节--第2节
下院108(1-16周).赵勇 副教授
星期五  第3节--第4节
下院108(1-16周).赵勇 副教授",中西文化对比                                                                                                                                                                                                                                                        ,2015,2016-2017,1,32,下院108,闵行下院        
外国语学院,赵勇,副教授                  ,大学基础英语（3）,066-(2016-2017-1)EN027(教学班),68,3,"行课安排为第1周 --- 第16周,其中:
星期二  第7节--第8节
下院108(1-16周).赵勇 副教授
星期五  第1节--第2节
下院108(1-16周).赵勇 副教授",中西文化对比                                                                                                                                                                                                                                                        ,2015,2016-2017,1,33,下院108,闵行下院        
外国语学院,黄晓艳,讲师(高校)              ,德语（B类）（下）                                 ,001-(2016-2017-1)FO008(教学班),128,8,"行课安排为第1周 --- 第16周,其中:
星期六  第1节--第2节
.(1-16周).黄晓艳 讲师(高校)
星期日  第1节--第2节
.(1-16周).黄晓艳 讲师(高校)","Loerizs和Christian合上；特为电院海外交流项目开设,柏林工大项目学生优先;非以上项目学生请不要选。 地点为外语学院310教室。过选退课时间不可退课。  课程为虚拟排课,具体上课时间为周三下午,周六\周日各六节课，第一周周三下午一点在教室集合，其他上课时间任课教师另行通知",0,2016-2017,1,8,,
外国语学院,黄晓艳,讲师(高校)              ,德语高级视听说（1）,001-(2016-2017-1)GE302(教学班),34,2,"行课安排为第1周 --- 第16周,其中:
星期一  第3节--第4节
上院504(1-16周).黄晓艳 讲师(高校)",                                                                                                                                                                                                                                                                    ,2014,2016-2017,1,14,上院504,闵行上院        
外国语学院,黄晓艳,讲师(高校)              ,德国经济                                          ,001-(2016-2017-1)GE405(教学班),34,2,"行课安排为第1周 --- 第16周,其中:
星期一  第1节--第2节
上院302(1-16周).黄晓艳",                                                                                                                                                                                                                                                                    ,2013,2016-2017,1,22,上院302,闵行上院        
外国语学院,黄晓艳,讲师(高校)              ,德国企业经营管理                                  ,001-(2016-2017-1)GE410(教学班),34,2,"行课安排为第1周 --- 第16周,其中:
星期一  第7节--第8节
东下院206(1-16周).黄晓艳",                                                                                                                                                                                                                                                                    ,2013,2016-2017,1,22,东下院206,闵行东下院      
外国语学院,王振华,教授                    ,英语报刊阅读                                      ,001-(2016-2017-1)EN425(教学班),36,2,"行课安排为第1周 --- 第16周,其中:
星期四  第1节--第2节
东下院104(1-16周).王振华",                                                                                                                                                                                                                                                                    ,2013,2016-2017,1,20,东下院104,闵行东下院      
外国语学院,甄凤超,副教授                  ,高级英语阅读（1）,003-(2016-2017-1)EN128(行政班),96,6,"行课安排为第1周 --- 第16周,其中:
星期二  第3节--第5节
中院103(1-16周).甄凤超
星期四  第3节--第5节
中院103(1-16周).甄凤超",限针灸                                                                                                                                                                                                                                                              ,2016,2016-2017,1,20,中院103,闵行中院        
外国语学院,林如平,讲师(高校)              ,大学基础英语（3）,029-(2016-2017-1)EN027(教学班),68,3,"行课安排为第1周 --- 第16周,其中:
星期一  第3节--第4节
下院512(1-16周).林如平 讲师(高校)
星期四  第7节--第8节
上院403(1-16周).林如平 讲师(高校)",综合英语                                                                                                                                                                                                                                                            ,2015,2016-2017,1,29,下院512,闵行下院        
外国语学院,林如平,讲师(高校)              ,大学基础英语（3）,038-(2016-2017-1)EN027(教学班),68,3,"行课安排为第1周 --- 第16周,其中:
星期一  第7节--第8节
下院512(1-16周).林如平 讲师(高校)
星期四  第1节--第2节
上院403(1-16周).林如平 讲师(高校)",综合英语                                                                                                                                                                                                                                                            ,2015,2016-2017,1,38,下院512,闵行下院        
外国语学院,林如平,讲师(高校)              ,大学基础英语（3）,018-(2016-2017-1)EN027(教学班),68,3,"行课安排为第1周 --- 第16周,其中:
星期一  第1节--第2节
下院512(1-16周).林如平 讲师(高校)
星期四  第3节--第4节
上院403(1-16周).林如平 讲师(高校)",综合英语                                                                                                                                                                                                                                                            ,2015,2016-2017,1,28,上院403,闵行上院        
外国语学院,林如平,讲师(高校)              ,大学基础英语（3）,029-(2016-2017-1)EN027(教学班),68,3,"行课安排为第1周 --- 第16周,其中:
星期一  第3节--第4节
下院512(1-16周).林如平 讲师(高校)
星期四  第7节--第8节
上院403(1-16周).林如平 讲师(高校)",综合英语                                                                                                                                                                                                                                                            ,2015,2016-2017,1,29,上院403,闵行上院        
外国语学院,林如平,讲师(高校)              ,大学基础英语（3）,018-(2016-2017-1)EN027(教学班),68,3,"行课安排为第1周 --- 第16周,其中:
星期一  第1节--第2节
下院512(1-16周).林如平 讲师(高校)
星期四  第3节--第4节
上院403(1-16周).林如平 讲师(高校)",综合英语                                                                                                                                                                                                                                                            ,2015,2016-2017,1,28,下院512,闵行下院        
外国语学院,林如平,讲师(高校)              ,大学基础英语（3）,038-(2016-2017-1)EN027(教学班),68,3,"行课安排为第1周 --- 第16周,其中:
星期一  第7节--第8节
下院512(1-16周).林如平 讲师(高校)
星期四  第1节--第2节
上院403(1-16周).林如平 讲师(高校)",综合英语                                                                                                                                                                                                                                                            ,2015,2016-2017,1,38,上院403,闵行上院        
外国语学院,贺心言,讲师(高校)              ,大学基础英语（1）,114-(2016-2017-1)EN025(教学班),68,3,"行课安排为第1周 --- 第16周,其中:
星期一  第7节--第8节
上院501(1-16周).贺心言 讲师(高校)
星期四  第1节--第2节
上院209(1-16周).贺心言 讲师(高校)",限医学院                                                                                                                                                                                                                                                            ,2016,2016-2017,1,38,上院209,闵行上院        
外国语学院,贺心言,讲师(高校)              ,大学基础英语（1）,106-(2016-2017-1)EN025(教学班),68,3,"行课安排为第1周 --- 第16周,其中:
星期一  第1节--第2节
上院501(1-16周).贺心言 讲师(高校)
星期四  第3节--第4节
上院209(1-16周).贺心言 讲师(高校)",限医学院                                                                                                                                                                                                                                                            ,2016,2016-2017,1,42,上院209,闵行上院        
外国语学院,贺心言,讲师(高校)              ,大学基础英语（1）,106-(2016-2017-1)EN025(教学班),68,3,"行课安排为第1周 --- 第16周,其中:
星期一  第1节--第2节
上院501(1-16周).贺心言 讲师(高校)
星期四  第3节--第4节
上院209(1-16周).贺心言 讲师(高校)",限医学院                                                                                                                                                                                                                                                            ,2016,2016-2017,1,42,上院501,闵行上院        
外国语学院,贺心言,讲师(高校)              ,大学基础英语（1）,114-(2016-2017-1)EN025(教学班),68,3,"行课安排为第1周 --- 第16周,其中:
星期一  第7节--第8节
上院501(1-16周).贺心言 讲师(高校)
星期四  第1节--第2节
上院209(1-16周).贺心言 讲师(高校)",限医学院                                                                                                                                                                                                                                                            ,2016,2016-2017,1,38,上院501,闵行上院        
外国语学院,王栋,讲师(高校)              ,大学基础英语（3）,016-(2016-2017-1)EN027(教学班),68,3,"行课安排为第1周 --- 第16周,其中:
星期一  第1节--第2节
下院206(1-16周).王栋 讲师(高校)
星期四  第3节--第4节
下院206(1-16周).王栋 讲师(高校)",中西文化对比                                                                                                                                                                                                                                                        ,2015,2016-2017,1,27,下院206,闵行下院        
外国语学院,王栋,讲师(高校)              ,大学基础英语（3）,027-(2016-2017-1)EN027(教学班),68,3,"行课安排为第1周 --- 第16周,其中:
星期一  第3节--第4节
下院206(1-16周).王栋 讲师(高校)
星期四  第7节--第8节
下院206(1-16周).王栋 讲师(高校)",中西文化对比                                                                                                                                                                                                                                                        ,2015,2016-2017,1,28,下院206,闵行下院        
外国语学院,王栋,讲师(高校)              ,大学基础英语（3）,036-(2016-2017-1)EN027(教学班),68,3,"行课安排为第1周 --- 第16周,其中:
星期一  第7节--第8节
下院206(1-16周).王栋 讲师(高校)
星期四  第1节--第2节
下院206(1-16周).王栋 讲师(高校)",中西文化对比                                                                                                                                                                                                                                                        ,2015,2016-2017,1,36,下院206,闵行下院        
农业与生物学院,李新红,副教授                  ,动物学                                            ,001-(2016-2017-1)AN203(教学班),34,2,"行课安排为第1周 --- 第8周,其中:
星期一  第1节--第2节
中院201(1-8周).李新红
星期三  第3节--第4节
中院201(1-8周).李新红",仅限本专业                                                                                                                                                                                                                                                          ,2015,2016-2017,1,24,中院201,闵行中院        
农业与生物学院,李新红,副教授                  ,动物解剖学                                        ,001-(2016-2017-1)AN204(教学班),34,2,"行课安排为第9周 --- 第16周,其中:
星期一  第1节--第2节
中院201(9-16周).李新红
星期三  第3节--第4节
中院201(9-16周).李新红",仅限本专业                                                                                                                                                                                                                                                          ,2015,2016-2017,1,24,中院201,闵行中院        
农业与生物学院,李新红,副教授                  ,动物学实验                                        ,001-(2016-2017-1)AN207(教学班),17,1,"行课安排为第3周 --- 第8周,其中:
星期一  第6节--第8节
.(3-8周).李新红 副教授","农生院实验与实践教学中心211
仅限本专业",2015,2016-2017,1,24,,
农业与生物学院,李新红,副教授                  ,动物解剖学实验                                    ,001-(2016-2017-1)AN209(教学班),17,1,"行课安排为第11周 --- 第16周,其中:
星期一  第6节--第8节
.(11-16周).李新红 副教授","农生院实验与实践教学中心211
 仅限本专业",2015,2016-2017,1,24,,
农业与生物学院,赵凌侠,研究员                  ,走进神秘的番茄世界                                ,001-(2016-2017-1)SP227(教学班),32,2,"行课安排为第5周 --- 第15周,其中:
星期五  第6节--第8节
中院203(5-15周).赵凌侠",                                                                                                                                                                                                                                                                    ,2016,2016-2017,1,30,中院203,闵行中院        
农业与生物学院,徐建雄,教授                    ,动物营养学                                        ,001-(2016-2017-1)AN322(教学班),34,2,"行课安排为第9周 --- 第16周,其中:
星期一  第3节--第4节
东上院302(9-16周).徐建雄
东上院302(9-16周).徐维娜
星期五  第7节--第8节
东上院302(9-16周).徐建雄
东上院302(9-16周).徐维娜",                                                                                                                                                                                                                                                                    ,2014,2016-2017,1,18,东上院302,闵行东上院      
农业与生物学院,严亚贤,教授                    ,兽医微生物学                                      ,001-(2016-2017-1)AN320(教学班),34,2,"行课安排为第1-8周,其中:
星期四  第7节--第8节
东下院404(1-8周) 严亚贤(1-8周)
东下院404(1-8周) 孙建和(1-8周)
星期五  第3节--第4节
东下院404(1-8周) 严亚贤(1-8周)
东下院404(1-8周) 孙建和(1-8周)",                                                                                                                                                                                                                                                                    ,2014,2016-2017,1,22,东下院404,闵行东下院      
农业与生物学院,王恒安,副教授                  ,动物免疫学                                        ,001-(2016-2017-1)AN328(教学班),34,2,"行课安排为第1-8周,其中:
星期一  第9节--第10节
东上院308(1-8周) 王恒安(1-8周)
东上院308(1-8周) 孙建和(1-8周)
星期四  第9节--第10节
东上院308(1-8周) 王恒安(1-8周)
东上院308(1-8周) 孙建和(1-8周)",                                                                                                                                                                                                                                                                    ,2014,2016-2017,1,26,东上院308,闵行东上院      
